CATEGORY;URL;ANCHORTEXT
SOFTWARE-TOOLS;https://gohugo.io/documentation/;Official Go-HUGO docs
SOFTWARE-TOOLS;https://linkchecker.github.io/linkchecker/install.html;CLI tool - Linkchecker
SOFTWARE-TOOLS;https://localhost:1313;LAN server - Hugo Server (localhost:1313)
SOFTWARE-TOOLS;https://localhost:3000;LAN server - Node NPM Server (localhost:3000)
SOFTWARE-TOOLS;https://manual.calibre-ebook.com/conversion.html#converting-to-pdf;CALIBRE - Kindle Mobi to PDF Cheatsheet
SOFTWARE-TOOLS;https://moz.com/blog/learning-machine-learning;MOZ Machine Learning Guide
SOFTWARE-TOOLS;https://ninite.com/;NINITE: The easiest way to get apps
SOFTWARE-TOOLS;https://portablefreeware.com/;Portable Freeware
SOFTWARE-TOOLS;https://qpdf.sourceforge.net/files/qpdf-manual.html;CLI tool - QPDF (pdf join/extract)
SOFTWARE-TOOLS;https://rclone.org/;CLI Tool - rclone
SOFTWARE-TOOLS;https://stackskills.com/courses/enrolled;My StackSkills Courses
SOFTWARE-TOOLS;https://support.nordvpn.com/Connectivity/Router/1047409122/GL-iNet-setup-with-NordVPN.htm;LAN server - Mango Router NordVPN Setup
SOFTWARE-TOOLS;https://taskwarrior.org/docs/examples.html;CLI Tool - task = TaskWarrior Commands
SOFTWARE-TOOLS;https://unsplash.com/wallpaper;Unsplash-Wallpapers
SOFTWARE-TOOLS;https://wiki.archlinux.org/title/dmenu;DMENU
SOFTWARE-TOOLS;https://wiki.omv-extras.org/doku.php?id=installing_omv5_raspberry_pi;CLI tool - NAS Installing OpenMediaVault (OMV) on Raspberry Pi
SOFTWARE-TOOLS;https://www.androidpolice.com/2020/03/24/make-personal-vpn-30-minutes/;(tutorial)
SOFTWARE-TOOLS;https://www.degraeve.com/invent-a-word/;Invent-A-Word
SOFTWARE-TOOLS;https://www.eneba.com/;Gaming - Eneba.com
SOFTWARE-TOOLS;https://www.exiftool.org/examples.html;CLI Tool - Exiftool examples
SOFTWARE-TOOLS;https://www.filehippo.com/;FileHippo Apps
SOFTWARE-TOOLS;https://www.gamivo.com/;Gaming - Gamivo.com
SOFTWARE-TOOLS;https://www.humblebundle.com/;Gaming - HumbleBundle.com
SOFTWARE-TOOLS;https://www.icollege.co/my-courses;COURSES - CYBERSECURITY + HACKING
SOFTWARE-TOOLS;https://www.mailinator.com/v4/public/inboxes.jsp?to=apx;Inbox - apx@MAILinator
SOFTWARE-TOOLS;https://www.portableapps.com/;Portable Apps
TRAVEL;https://en.ilmatieteenlaitos.fi/weather/espoo/kivenlahti;Weather - Kivenlahti Finland (FMI.fi)
